ID,Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,AVG,Def10,Def11,Def12,Def13,Def14,Def15,Def16,Def17,Def18,Def19,Def20,Def21,Size10,Size11,Size12,Size13,Size14,Size15,Size16,Size17,Size18,Size19,Size20,Size21
ISS504,ISS 504: Other Utility Services,0,0,0,0,0,0,0,0,0,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ISS505,ISS 505: Compliance Services,-0.663204389,-0.821485566,-0.144539926,-0.171709905,-0.216404475,-0.126817431,-0.141240669,-0.092391129,0,0,0,0,5.53,-295947000,-325848000,-46272000,-55855000,-61421000,-36686000,-40093000,-25758000,0,0,0,0,12,12,6,6,7,5,6,5,0.7,0.7,0.7,0.7
ISS506,ISS 506: Conservation Services,0.85367886,-0.079899218,-0.152854671,-0.21033742,-0.226211284,-0.276335061,-0.265331928,-0.13660428,0,0,0,0,4.4,121919000,-15063000,-33656000,-47881000,-49569000,-68677000,-64209000,-32589000,0,0,0,0,9,4,5,6,6,7,7,5,0.7,0.7,0.7,0.7
ISS507,ISS 507: Pollution Prevention Services,-0.281401586,-0.561463838,-0.237545583,-0.523721485,-0.256499966,-0.419357133,-0.175945172,-0.055900417,0,0,0,0,4.75,-4931000,-15511000,-7882000,-17563000,-7478000,-17691000,-6264000,-1702000,0,0,0,0,2,4,3,4,3,4,3,2,0.7,0.7,0.7,0.7
ISS510,ISS 510: Pest Management,0,0,0,0,0,0,0,0,-0.089685814,-0.145097286,-0.075488287,-0.074810664,5.19,0,0,0,0,0,0,0,0,-1413000,-2267000,-1202000,-1215000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2,2,2,2
ISS401,ISS 401: Fire and Emergency Response Service,0,0,0,0,0,0,0,0,-0.00023148,-0.000127847,0,0,8.36,0,0,0,0,0,0,0,0,-102000,-56000,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,0.7,0.7
ISS600,ISS 600: Physical Security,0.664816443,-0.117758649,-0.581477657,-0.351319384,-0.380136801,-0.397927721,-0.158706079,-0.19479731,0,0,0,0,8,395488000,-76104000,-416652000,-302968000,-302273000,-329091000,-124078000,-157225000,0,0,0,0,13,7,14,12,12,12,9,10,0.7,0.7,0.7,0.7
ISS601,ISS 601: Law Enforcement Services,-0.099246524,-0.269863531,-0.04352789,-0.087941474,-0.016452849,-0.055281182,-0.018902027,-0.061214382,0,0,0,0,8.01,-24684000,-86396000,-13728000,-21902000,-4059000,-14238000,-4957000,-16561000,0,0,0,0,4,8,3,4,2,3,2,4,0.7,0.7,0.7,0.7
ISS602,ISS 602: Anti-Terrorism Services,-0.072979444,-0.360382485,-0.123904164,-0.43062399,-0.202384651,-0.307100011,-0.317385689,-0.109306138,0,0,0,0,7.18,-5304000,-27588000,-10374000,-73849000,-31266000,-52886000,-52587000,-17535000,0,0,0,0,3,5,3,7,5,6,6,4,0.7,0.7,0.7,0.7
ISS603,ISS 603: Installation Security Program Mgmt Support,-0.214750924,-0.399112094,-0.198076654,-0.516716189,-0.741860777,-0.453066529,-0.188450845,-0.105961434,0,0,0,0,7.55,-7320000,-24183000,-12729000,-51127000,-77520000,-46370000,-12065000,-7803000,0,0,0,0,3,4,3,6,7,6,3,3,0.7,0.7,0.7,0.7
ISS604,ISS 604: Emergency Management,-0.593277219,-0.813637173,-0.005743819,-0.715288283,-0.480281862,-0.560179811,-0.127952256,-0.103119394,0,0,0,0,7.87,-32705000,-45702000,-1008000,-137595000,-58957000,-68040000,-15608000,-12704000,0,0,0,0,5,6,2,9,6,7,4,3,0.7,0.7,0.7,0.7
ISS702,ISS 702: Multimedia/Visual Information Processes,-0.201027146,-0.243608102,-0.162362906,-0.204410506,-0.668654298,-0.005702575,-0.161330724,-0.085693986,0,0,0,0,4.38,-20550000,-24668000,-12613000,-15526000,-50349000,-256000,-6183000,-3739000,0,0,0,0,4,4,3,4,6,1,3,2,0.7,0.7,0.7,0.7
ISS900,ISS 900: Airfield Operations,0.167388,0.198564972,-0.050707362,-0.013842594,-0.051002937,-0.169508951,-0.279680694,-0.068187457,0,0,0,0,7.38,17288000,21309000,-6147000,-1765000,-6911000,-26380000,-43725000,-10444000,0,0,0,0,4,4,3,2,3,5,6,3,0.7,0.7,0.7,0.7
ISS901,ISS 901: Mobilization and Deployment Support,0.580587178,0.939067182,-0.22786753,-0.09661414,0.00934725,-0.180679189,0.001240671,0,0,0,0,0,7.7,11143500,18332000,-5790000,-2268500,180000,-4333500,33000,0,0,0,0,0,3,4,3,2,1,2,1,0.7,0.7,0.7,0.7,0.7
ISS902,ISS 902: Command and Control,0.580587178,0.939067182,-0.22786753,-0.09661414,0.00934725,-0.180679189,0.001240671,0,0,0,0,0,7.29,11143500,18332000,-5790000,-2268500,180000,-4333500,33000,0,0,0,0,0,3,4,3,2,1,2,1,0.7,0.7,0.7,0.7,0.7
ISS903,ISS 903: Training Land Sustainment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISS904,ISS 904: Range Operations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISS905,ISS 905: Training Support Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISS906,ISS 906: Battle Command Training Center (MTC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISS701,ISS 701: Communication Systems and System Support,-0.250039873,-0.014291605,-0.343298453,-0.543197158,-0.621393542,-0.708135798,-0.062732344,-0.066409061,0,0,0,0,8.42,-148934000,-9115000,-137134000,-220921000,-236439000,-276333000,-24536000,-22514000,0,0,0,0,9,3,9,11,11,12,4,4,0.7,0.7,0.7,0.7
ISS703,ISS 703: Information Assurance,-0.583571973,-0.920403457,-0.199475911,-0.922971081,2.311601097,3.597333917,-0.069593528,-0.127171305,0,0,0,0,7.97,-68879000,-395941000,-27861000,-153611000,410649000,427187000,-5686000,-19401000,0,0,0,0,7,13,5,10,14,14,3,4,0.7,0.7,0.7,0.7
ISS700,ISS 700: Automation,-0.358432839,0.003724015,-0.074726389,0.119896842,-0.639480901,-0.689169939,-0.06933621,0.201117386,0,0,0,0,6.97,-227626000,1077000,-47897000,78569000,-391056000,-396700000,-30082000,100434000,0,0,0,0,11,2,6,7,13,13,5,9,0.7,0.7,0.7,0.7
