ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
201,0,0,0,0,0,0,0,0,2562,8434,2794,4489,1806,4422,2562,4006,2719,8404,873,0,910,0,915,0,934,0
201,16956,0,39820,43766,35898,35344,34151,38171,64293,85474,67871,81215,63682,92939,50363,77692,61090,86160,44614,0,44565,0,24476,0,25088,0
201,0,0,0,0,0,0,0,0,1452,0,1569,0,1900,0,1900,0,1730,2415,1740,0,1750,0,1760,0,1770,0
201,0,0,0,0,0,0,0,0,10648,11804,9821,11354,12108,11546,9520,11191,8074,6158,1313,0,1391,0,1436,0,1469,0
201,0,8810,0,0,0,0,0,0,4481,4862,4823,4968,4706,7724,4381,7218,16316,19314,14248,0,14296,0,14224,0,10827,0
201,8358,19659,17232,18332,5404,12221,9732,10869,16641,21912,16109,18535,15885,18816,15888,18918,14779,20900,6100,0,6225,0,6325,0,6550,0
201,4860,3559,2027,1923,661,605,1120,1120,83890,90942,81408,89945,75955,91710,83143,86115,78134,82223,39202,0,40001,0,41388,0,42337,0
201,1201,1650,369,379,189,180,127,127,25663,26974,23278,27388,20482,26254,22422,22422,19589,18789,10668,0,11004,0,11265,0,11288,0
201,2067,1845,881,803,266,216,167,167,56812,66804,54841,73502,32282,64711,36514,50989,28286,34880,13197,0,14055,0,14650,0,14699,0
201,65,0,0,0,0,0,0,0,1362,1240,1321,1746,1040,1305,1492,1492,1063,1363,715,0,730,0,745,0,763,0
201,14522,10105,4875,4313,919,749,777,777,170474,176224,156642,190418,142181,180093,145696,150696,140953,141983,67422,0,69571,0,74201,0,75680,0
414,202103,71425,73108,57717,49347,61031,53629,55029,211056,219068,234845,216676,159890,194936,170302,172724,155886,166996,60208,0,63815,0,60851,0,66650,0
201,20223,87748,14079,15474,8141,8325,6667,6667,323542,355750,292423,325589,238100,313489,274120,313134,247276,272702,98931,0,102858,0,102514,0,104568,0
201,15582,12375,12650,13457,17010,11106,16009,16009,30395,32634,29708,34024,29000,28288,29236,28217,31591,32519,10607,0,10859,0,11110,0,11261,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,1152,1152,1182,0,1229,0,1273,0,1305,0
